date,exchange_rate_eur
2017-08-01,3031.9911
2017-08-02,3054.2375
2017-08-03,3064.2055
2017-08-04,3070.0502
2017-08-05,3070.0502
2017-08-06,3070.0502
2017-08-07,3067.0345
2017-08-08,3041.8455
2017-08-09,3040.0443
2017-08-10,3017.7414
2017-08-11,3014.2286
2017-08-12,3014.2286
2017-08-13,3014.2286
2017-08-14,3023.1004
2017-08-15,3023.6516
2017-08-16,3006.262
2017-08-17,2994.5655
2017-08-18,2983.4847
2017-08-19,2992.5731
2017-08-20,2992.5731
2017-08-21,2992.5731
2017-08-22,2992.371
2017-08-23,2995.9201
2017-08-24,2995.9201
2017-08-25,2995.9201
2017-08-26,2995.9201
2017-08-27,2995.9201
2017-08-28,3014.123
2017-08-29,3042.7546
2017-08-30,3065.0806
2017-08-31,3048.0581
2017-09-01,3038.3104
2017-09-02,3038.3104
2017-09-03,3038.3104
2017-09-04,3069.2074
2017-09-05,3084.1389
2017-09-06,3085.9619
2017-09-07,3099.9378
2017-09-08,3112.841
2017-09-09,3112.841
2017-09-10,3112.841
2017-09-11,3144.3995
2017-09-12,3120.2641
2017-09-13,3104.8423
2017-09-14,3124.0804
2017-09-15,3109.3556
2017-09-16,3109.3556
2017-09-17,3109.3556
2017-09-18,3137.2233
2017-09-19,3128.0675
2017-09-20,3127.8569
2017-09-21,3144.5894
2017-09-22,3123.5364
2017-09-23,3123.5364
2017-09-24,3123.5364
2017-09-25,3141.1454
2017-09-26,3122.9967
2017-09-27,3109.8185
2017-09-28,3108.175
2017-09-29,3123.6545
2017-09-30,3123.6545
2017-10-01,3123.6545
2017-10-02,3137.8572
2017-10-03,3130.3169
2017-10-04,3138.5438
2017-10-05,3159.9538
2017-10-06,3146.8189
2017-10-07,3146.8189
2017-10-08,3146.8189
2017-10-09,3130.4437
2017-10-10,3118.7621
2017-10-11,3136.372
2017-10-12,3138.8908
2017-10-13,3157.8052
2017-10-14,3157.8052
2017-10-15,3157.8052
2017-10-16,3157.8052
2017-10-17,3134.1328
2017-10-18,3114.2921
2017-10-19,3104.728
2017-10-20,3136.0041
2017-10-21,3136.0041
2017-10-22,3136.0041
2017-10-23,3136.3674
2017-10-24,3120.1109
2017-10-25,3136.6534
2017-10-26,3154.8499
2017-10-27,3152.9325
2017-10-28,3152.9325
2017-10-29,3152.9325
2017-10-30,3118.9344
2017-10-31,3115.4288
2017-11-01,3126.2018
2017-11-02,3121.1202
2017-11-03,3136.159
2017-11-04,3136.159
2017-11-05,3136.159
2017-11-06,3143.0358
2017-11-07,3111.9553
2017-11-08,3092.9838
2017-11-09,3087.1409
2017-11-10,3088.7623
2017-11-11,3088.7623
2017-11-12,3088.7623
2017-11-13,3090.2597
2017-11-14,3087.4358
2017-11-15,3111.9989
2017-11-16,3135.495
2017-11-17,3116.5379
2017-11-18,3116.5379
2017-11-19,3116.5379
2017-11-20,3125.5673
2017-11-21,3119.2648
2017-11-22,3104.3573
2017-11-23,3130.8221
2017-11-24,3182.5434
2017-11-25,3182.5434
2017-11-26,3182.5434
2017-11-27,3196.5337
2017-11-28,3207.3516
2017-11-29,3194.5227
2017-11-30,3194.9375
2017-12-01,3217.6965
2017-12-02,3217.6965
2017-12-03,3217.6965
2017-12-04,3215.4059
2017-12-05,3229.0975
2017-12-06,3218.1672
2017-12-07,3203.4884
2017-12-08,3196.2881
2017-12-09,3196.2881
2017-12-10,3196.2881
2017-12-11,3183.1793
2017-12-12,3200.9295
2017-12-13,3197.6583
2017-12-14,3200.1126
2017-12-15,3246.7152
2017-12-16,3246.7152
2017-12-17,3246.7152
2017-12-18,3262.5955
2017-12-19,3287.6952
2017-12-20,3296.7613
2017-12-21,3300.1202
